2017/01/23                                     Regional Medical Associates - Hamilton                                       PAGE   1

  Batctrl    Batctrl Amt
   Batch         Act
    Nbr

  34Y20353      4,837.03
  34Y20354      6,787.11
  34Y20355        911.26
  34Y20356        314.00
  34Y22326      8,362.20
  34Y22327      4,010.60
  34Y33382      3,045.45
  34Y33383      3,939.08
  34Y33384      2,934.70
  34Y33385        135.30
  34Y35604        395.70
  34Y35605        218.25
  34Y40352      8,285.62
  34Y40353      6,840.05
  34Y40354      2,979.01
  35018407        879.85
  3502E117        916.05
  3508E154      2,481.20
  3508E155      2,284.50
  3525P009        449.20
  3528C144        863.90
  35500281        642.40
  35500282      2,442.40
  35505098      3,118.40
  3550C367      3,250.80
  3550C368      2,085.10
  35526177     30,405.80
  35541426      4,162.30
  35541427      9,317.10
  35568388        496.20
  3556L054      8,695.85
  3570M001        559.40
  3580H111      4,910.80
  3592H092        501.50
  35999027     -2,325.95
  35C42301      1,452.60
  35C49450        959.50
  35F07479     10,000.85
  35H75300      3,698.40
  35M03159        825.70
  35V51319     11,562.20
  35V51320     12,097.20
  3616F049         55.15
  36228494      4,825.63
  36228495        194.82
  36249387     22,463.34
  36249388      3,351.12
  36249389      4,442.51
  36249390      2,008.86
  36434467      6,661.28
  36434468      1,349.25
  36434469     19,665.09
  36606634      1,918.70
  3661K029      7,347.45
  3669F229     12,982.03
  3682H279      4,811.75
  3682H280        116.11
  3683N064      5,325.68
  3683N065     15,058.74
  3683N066      7,752.07
  36999041     -2,032.58
  36D96367        101.35
  36E84850        112.54
  36E84851      9,028.74
  36E85849        112.54
  36E85850     21,785.86
  36J56328         63.00
  36K78682      7,004.81
  36K78683      7,440.70
  36K78684      2,473.63
  36N36526         67.72
  36N36527      4,914.84
  36N36528      2,005.46
  36N36529      7,025.53
  36N36530      5,475.87
  36N36531      5,355.68
  36N36532        911.81
  36N71470      5,095.56
  36N71471        690.35
  36P11771     12,495.99
  36P11772      7,840.60
  36W63408      5,489.43
  36W90000       -383.95
  3705P026        348.75
  37999031     -1,961.08
  4125M088      3,345.00
  4125M089      2,196.25
  4191N073      5,396.50
  4191N074      2,519.25
  41999019     -2,949.25
  4201A231     11,299.99
  4201N122      4,665.53
  4201N123      5,672.08
  4201N124      7,822.07
  4204L002        165.75
  42058045         61.10
  42073060        122.20
  42104061        219.80
  42104062        122.20
  42128013        165.75
  42129286      5,507.61
  42129287     13,581.19
  42129288     10,773.10
  42170200        183.80
  42170201         86.60
  42170202     12,430.80
  42170203      6,334.60
  42170204      1,442.20
  42193071         91.20
  42193072         90.30
  4221C093      3,047.03
  4222J011         30.10
  42241061        219.80
  42334007         60.20
  4234C055      1,380.92
  4237N005         61.10
  4239K197      6,005.52
  4240K011        132.20
  4244F014        191.50
  4250P048      4,342.20
  4250P049      1,610.89
  42521464     10,539.30
  42521465      6,778.77
  42521466     10,285.30
  4254C105     31,339.23
  42555048         61.10
  4257J159      5,255.98
  4257J160      6,457.64
  4260M076      1,926.14
  4260M077         42.14
  42647073         62.00
  42729135     12,565.14
  42729136      1,495.20
  4272P003        271.80
  4273P004        190.60
  42754075         92.10
  42774068         90.30
  42790084        131.30
  42791068        150.50
  4283L153      1,425.95
  4283L154      3,586.17
  4283L155      3,092.06
  4285C013      6,634.42
  4285C015     11,906.41
  4285C016      7,204.65
  42968161      7,129.69
  42968162      5,753.13
  4296F009        121.30
  42996156        480.27
  42996157      4,234.84
  42999035     -5,101.31
  4299M006      4,863.24
  42C43054        138.60
  42D18006        202.10
  42E91711     10,760.45
  42F56184     13,777.27
  42F64679        275.60
  42F64680      3,698.51
  42F64681        965.90
  42F96052         69.30
  42F96053        191.50
  42G29046        120.40
  42G64035        129.50
  42G65044         90.30
  42G71726      2,456.40
  42G71727     14,189.10
  42G89053         61.10
  42H28045        237.55
  42H39910      6,025.43
  42H39911      5,659.79
  42H39912      8,844.11
  42H95881      1,516.01
  42H95882      6,771.00
  42H95883      4,624.07
  42J23401      4,379.05
  42J42713      5,853.02
  42J42714      8,295.11
  42J47037        100.30
  42J99626      4,055.17
  42J99627      4,016.04
  42J99628      5,864.74
  42K84007        165.75
  42L57868     10,835.58
  42L57869      4,443.02
  42L57870      4,749.08
  42M06206     10,182.22
  42M06207     10,782.68
  42M11726      3,890.64
  42M11727      2,304.84
  42M11728      1,501.00
  42M81431      5,023.20
  42M81432     10,541.10
  42N26718     10,436.95
  42N26719     11,822.91
  42N26720      2,104.11
  42N52467      4,754.90
  42N52468     11,404.83
  42N88613     13,012.06
  42N88614      1,834.19
  42N88615     10,673.03
  42P06334     15,621.04
  42R56446      3,752.98
  42R56447      4,871.70
  42R56448     13,002.72
  42T42027         60.20
  42V40591      2,990.40
  42V40592     27,043.90
  42V58467      1,921.28
  42V58468      7,710.35
  42V58469     10,923.25
  43034145     13,643.09
  43034146      5,607.53
  43321430      9,395.15
  43321431      6,215.80
  43396300         76.44
  43396301     27,675.69
  43396302      4,027.40
  43700704     -1,531.97
  43800313       -292.90
  43999027       -607.21
  43W11548     10,886.23
  43W11549      2,980.29
  43W11550      3,721.39
  43W11551      8,333.85
  4404M053      5,753.52
  4404M054     10,764.46
  4404M055      8,351.10
  44143226      5,540.70
  44143227      2,132.30
  44143228        314.00
  4431H165      4,500.64
  4431H166      5,313.25
  4431H167      4,120.27
  4431H168      4,286.49
  4440M031     18,679.95
  4440M032     20,351.00
  4440M033     16,529.00
  4440M034     15,409.65
  4440M035     10,574.65
  4455T002         40.45
  4455T003      1,403.24
  4455T004        658.96
  44698882        457.70
  44698883     21,766.07
  44698884     17,740.25
  44698885      4,087.00
  4474P013      5,313.30
  44780088     10,395.59
  44780089      7,341.81
  44780090        476.40
  4483K070      1,473.11
  44899283     11,313.90
  44899284     13,582.45
  44899285        254.10
  44917486      2,401.63
  44917487      1,829.55
  44917488      2,083.40
  4493L025     14,896.57
  44999038     -2,986.34
  44C27298      1,805.17
  44H09118      4,670.75
  44K34559     11,437.35
  44K34560      2,035.55
  44K34561      2,537.45
  44L47636      6,376.90
  44L47637      8,246.22
  44L47638      4,879.28
  44L47639      8,671.98
  44L47640      9,962.65
  44L75310      1,188.00
  44L75311     10,542.65
  44L75312      2,215.00
  44X39270      1,340.05
  44X39271        822.43
  44X39272        688.75
  44Y15124        214.08
  44Y15125        549.80
  4513C140      3,349.25
  45513658      2,009.20
  4551H049      3,062.20
  45560230      6,525.10
  4560F116        321.20
  4560F117      2,971.10
  4584P002        638.55
  45864330      1,328.00
  45864331        880.60
  45969450        950.30
  45969451      1,045.35
  45969452        535.80
  45F16712        963.60
  45F16713      6,206.40
  45F16714        906.20
  45K86110      8,467.60
  45M35314      6,254.20
  45M35315        185.20
  46024417      4,722.40
  46024418      5,128.09
  46999015        -67.75
  6125B658        316.55
  61800718        -13.55
  61999031        -23.60
  61R66249        316.55
  68999000        -38.05
  69800034       -723.49
  69800035        -52.67
  69999035     -1,072.80
  72416160        103.38
  73648347        127.30
  7810N194        928.20
  7817B268      1,950.55
  7817B269      2,797.92
  7817B270      1,722.52
  7835P172      2,221.31
  7835P173      1,235.86
  7835P174      1,237.50
  7835P175      2,065.73
  7835P176      1,923.80
  7839B182        120.45
  7871R026        982.90
  78800073     -1,345.00
  78800074       -131.40
  7887E287      2,407.42
  7887E288      2,648.85
  7887E289      2,262.38
  7887E290      2,022.50
  7887E291      1,302.23
  7887E292      1,038.05
  78999024       -300.17
  78T77169        661.35
  78T77170        293.50
  78V77773         84.80
  80800099       -636.05
  80800100        -82.73
  80800101        219.75
  80999020       -185.00
  82800070       -268.00
  82800071       -277.55
  87999016        -84.45
  8829H503        185.40
  88800220       -799.33
  88800221     -2,409.95
  88913518        215.34
  88999032     -1,750.60
  88L23556         35.65
  88N37319        135.22
  89800027       -376.50
  89800030        -80.50
  89999024     -1,368.35
  91800779     -1,114.88
  91800780     -4,623.90
  91999023     -3,204.55
  92800246       -681.73
  92800247       -229.75
  92999035     -2,666.00
  92Y50690        154.05
  93800240       -503.47
  93800241       -358.00
  93999028     -1,006.82
  95800160       -143.35
  95800161       -173.20
  95800162       -176.35
  95999024       -155.40
  96999032     -1,820.66
  96W90069        758.22
  96W90070       -622.79
  9800M004        322.55
  9802A004        643.50
  9805K024        177.85
  9805R001        856.00
  9809P010        182.60
  9809R001      3,655.20
  9810T001        257.55
  98158039      2,920.01
  9818H019        343.60
  9820M002      1,460.50
  9823F012        309.95
  9823J009        262.80
  98249090        207.75
  9825B015        166.30
  9826T001        336.00
  98289009        336.00
  9842T001        258.78
  9847R003      2,029.00
  9849R001        493.52
  9849T002        417.95
  9853K005      2,450.25
  9856C004        600.41
  9856P002        696.70
  9860M009        382.76
  98612045        163.61
  98632036        220.88
  9865E024         88.95
  9865M003        309.60
  9866C017        525.70
  98722035        233.75
  9875A026         66.35
  9877K016        132.70
  98781048        237.25
  9883N021        229.80
  9883R001        842.23
  9884J015        593.02
  9887R002        671.03
  9889P001        449.66
  9890N001        432.55
  9892R002        332.15
  98939016        170.90
  98968022        305.10
  9896K016        151.75
  9897H013        170.90
  9897R003        875.20
  9898C025         51.60
  9898L004        124.25
  98999039    -27,424.10
  98999040    -12,602.20
  98C79055         86.26
  98E84128        377.55
  98E85131        328.70
  98E88027        490.83
  98F56015      8,064.40
  98F81037        361.85
  98F91090        219.75
  98F94106      1,288.85
  98F94107        856.00
  98G19064         88.95
  98G27049        236.45
  98J36021        336.00
  98J81022      3,228.75
  98J86041      2,067.10
  98K41047        595.50
  98K87021        336.00
  98L48019        846.70
  98L57030      1,478.90
  98L98084        170.90
  98M17021        836.55
  98M42041        294.50
  98P41032        806.82
  98R67022        559.70
  98T30015        159.90
  98T53008      1,075.63
  98T67025      1,269.75
  98T70079         84.85
  98T96052      5,322.68
  98V24018      1,586.23
  98V59091        176.15
  98V85015      3,780.65
  98V87034        369.15
  98W87031        336.00
  98X22004      1,375.95
  98X39002        336.00
  98X95127        -72.15
  98X95128     -4,377.83
  98Y06015        432.55
  98Y21029         62.00
  98Y35009        171.25
  98Y37068        390.75
  98Y91024        922.13
  12,072,418.43
