2017/01/23                                     Regional Medical Associates - Hamilton                                       PAGE   1

  Batctrl    Batctrl Amt
   Batch         Act
    Nbr

  2347R020     19,555.45
  2347R021     21,957.80
  2349K132        564.75
  2349K133      7,224.45
  2349K134        847.65
  2351C225        157.00
  2351C226      2,424.70
  2351R006      7,713.74
  23521111      2,566.71
  2352C130      5,913.49
  2352M085      1,179.92
  2352R005      5,220.28
  2353C062      8,290.70
  2353P018         79.85
  2353P019      3,387.48
  2353R004     11,812.46
  2355H364      9,229.43
  2355H365      5,929.19
  2355H366     10,294.04
  2355H367        544.60
  2356P055      3,894.08
  2356P056      2,974.12
  2357C412      1,948.30
  2357C413      4,310.32
  2357C414      8,277.67
  2357P021         56.95
  2357P022        180.12
  2357P023        180.12
  2357P024         42.40
  23582395      6,309.85
  23582396      6,375.30
  23582397        598.45
  23584146      7,898.25
  23585497      4,435.80
  23585498      6,566.02
  2358H309      2,600.20
  2358P031         35.65
  2358P032         35.65
  2358P033      2,352.38
  2358P034         35.65
  2359N066      6,079.64
  2359N067      4,639.64
  2359N068      2,132.82
  2359N069      2,457.33
  2359T008      3,388.21
  2359T009      5,155.41
  2360F047      1,124.20
  2360F048      1,927.20
  2360K017        173.90
  2360N045         40.30
  2361J128        347.38
  2361N012      1,132.90
  2361P085      1,146.71
  23627016        263.70
  23631129      4,779.40
  2363N009      1,016.80
  2363N010      4,232.40
  2363N011        111.50
  2364E112     30,977.03
  2364E113        420.28
  2365J087      3,301.92
  2365J088        145.10
  2365M097      1,456.84
  2365M098      3,798.12
  2365T001      2,316.75
  2368P023     10,071.28
  2368P024         70.90
  2368T008      8,363.05
  2368T009     17,345.82
  2368T010     13,165.77
  2368T011      5,771.05
  2368T012      9,225.96
  2368T013     21,687.87
  2368T014      5,538.81
  2369C051      1,084.75
  2369C052      1,156.80
  2369E024      1,224.40
  2369M078     26,562.32
  2369M079        311.10
  2370R017        378.75
  2371C012         60.20
  2371F101      2,695.35
  2371F102      3,505.15
  2371F103        661.55
  2373H053      5,434.40
  23759258        461.30
  23759259        762.00
  2378K057      1,268.04
  2378K058     10,930.58
  2378K059      5,140.61
  2378M028     15,769.23
  2378M029      7,979.50
  2378N153      4,936.58
  2378N154      2,744.89
  2378N155      2,029.15
  23800701        -29.98
  2380P011      2,393.90
  2380P012      1,226.95
  2381P011        319.40
  2381P012      1,860.00
  2382P021      2,570.15
  2382P022      4,359.45
  2384N052         13.30
  2384N053         53.20
  2384N054      5,304.75
  2384P010      9,614.35
  2385P040      3,032.44
  2385P041      2,924.58
  2387K021        851.70
  2387K022      2,626.30
  2387P032         39.00
  2387P033        141.80
  2387P034      5,086.87
  2387P035      7,949.37
  2387P036        172.85
  2388A158     11,753.55
  2388A159      2,626.05
  2388A160      2,265.65
  2388A161      1,958.75
  2388A162         80.30
  2388A163        593.45
  2388A165        533.25
  2388H102        108.20
  2388H103        146.45
  2390N007        503.30
  2393C314        132.60
  2393C315      1,579.38
  2393C316      2,079.15
  2396K240      1,898.39
  2396K241      1,340.35
  2396K242      2,211.10
  23983153      3,228.90
  23999064    -10,933.42
  23999065     -4,191.82
  23B91125        165.00
  23B92373      3,576.75
  23B92374      3,839.10
  23B92375      4,152.30
  23B92376      1,543.65
  23B92377      3,727.35
  23B92378      3,727.35
  23B92379      3,727.35
  23B92380      3,727.35
  23B92381        301.20
  23C04104      1,874.40
  23C99208        204.10
  23C99209      1,635.30
  23E64171        534.20
  23E64172      8,651.05
  23E91038      3,749.65
  23E99123        481.80
  23F28069      3,818.60
  23F33063      3,327.10
  23F33064      4,076.40
  23F42217     13,444.20
  23F42218      7,604.80
  23F43105      4,186.70
  23F43106      9,137.35
  23F43107         64.70
  23G35096     11,004.56
  23G54063      1,701.40
  23G54064        129.40
  23J23125      3,275.72
  23J66055      1,150.30
  23J87230      2,428.00
  23J87231      1,697.83
  23J87232        943.25
  23J99150      2,461.64
  23J99151      2,026.35
  23J99152      2,596.73
  23K24204      9,425.08
  23K24205      1,789.00
  23L23176        103.37
  23L26139         65.95
  23L26140        131.90
  23L28233        292.70
  23M11096        270.18
  23M11097      1,906.27
  23M21015        126.90
  23M51045        111.50
  23M51046         64.70
  23N26171      3,046.65
  23N69064      3,873.70
  23N84448      3,058.10
  23N84449      3,078.98
  23N84450      5,093.22
  23P09473      1,906.55
  23P09474      1,445.15
  23P09475      1,005.55
  23P87190      1,711.14
  23P87191      2,131.42
  23P87192      3,407.27
  23R31010        669.20
  23T96185     47,100.35
  23T96186     99,639.80
  23T96187     41,059.14
  23T96188      4,442.68
  23V04066      3,737.60
  23V38073      1,642.20
  23W89619     10,636.18
  23W89620     10,229.77
  23W89621      5,651.44
  23W90080          5.06
  23W90081       -704.39
  23Y57237      1,467.40
  23Y57238         35.65
  23Y59235        194.85
  23Y59236      4,134.01
  23Y59237      1,899.73
  23Y60276        123.70
  23Y60277      1,999.38
  23Y64690      1,578.59
  23Y64691      1,671.90
  23Y64692      1,768.22
  23Y64693        106.95
  23Y64694        156.10
  23Y64695         35.65
  23Y64696      1,611.90
  23Y64697        976.89
  23Y64698      1,142.21
  23Y69208         56.95
  23Y69209      1,872.27
  23Y72237      4,751.90
  23Y72238      1,479.85
  23Y72239         56.95
  23Y72240      1,603.42
  23Y72241      3,904.34
  23Y76069      1,945.12
  23Y84379      3,345.10
  23Y84380     10,271.45
  23Y93051        841.10
  23Y93052        517.60
  23Y98336        113.90
  23Y98337      4,542.46
  23Y98338      3,732.15
  23Y98339      3,389.03
  23Y98340         45.90
  23Y98341        113.25
  23Y98342        903.21
  24W63207         48.75
  2501A159      5,462.98
  2521C099      4,510.47
  2534C093     11,676.65
  25375135     25,191.85
  25375136      1,922.40
  2550P034        585.39
  2560M097      5,001.86
  2560M098      1,594.52
  2564E139     26,017.73
  2564E140      4,699.20
  25968161     12,027.78
  25968162      5,159.05
  25968163      1,660.38
  25987393      6,626.61
  25987394      2,671.78
  25987395      1,635.52
  2598M043     12,468.75
  25996170      2,192.44
  25996171      4,707.96
  25F56097     13,104.37
  25G92123     24,333.84
  25N12257      4,820.55
  25N12258        564.75
  2600V001      2,277.25
  2603P024        314.55
  2603P025     20,453.30
  2603P026      1,946.35
  2605V001        715.50
  2608M058     27,865.95
  2608M059      5,853.55
  2608M060      9,468.25
  2609M070      3,239.65
  2609M071     19,816.40
  2609M072      3,420.85
  2610M046     21,995.25
  2613M036        619.15
  2613M037      4,308.50
  2630T007      1,696.25
  2630T008      1,902.15
  2630T009      3,391.65
  2635T007     15,179.08
  2635T008      3,672.40
  2636T008     17,614.70
  2636T009        891.60
  2644N025      4,659.10
  2648P009      8,068.40
  2648P010     13,758.55
  2648P011      5,753.00
  2649P010     32,095.20
  2649P011     11,036.05
  2649P012      7,305.25
  2650L188     30,791.45
  2650L189     38,226.15
  2650L190     14,891.60
  2650L191     38,006.15
  2650L192     36,673.10
  2650L193      3,097.10
  2650L194     41,054.50
  2650L195     25,764.65
  2650L196     34,559.20
  2650L197     41,744.10
  2650L198      5,437.60
  2651L216     44,137.80
  2651L217     38,126.05
  2651L218     10,065.50
  2651L219     46,974.35
  2651L220     38,299.40
  2651L221     30,800.90
  2651L222     34,130.55
  2651L223     15,588.85
  2651L224     40,675.05
  2651L225     14,432.90
  2654L052      1,368.22
  2654L053     10,450.30
  2655L069     15,685.80
  2655L070      1,557.50
  2662P015      4,119.55
  2665L046      9,759.05
  2670P016        524.95
  2670P017     12,032.30
  2670P018     26,740.45
  2670P019      9,356.65
  2671N038     29,132.65
  2671N039        681.05
  2678P012        697.10
  2678P013     16,735.65
  2679L093     31,255.10
  2679L094     32,381.45
  2679L095     11,586.90
  2679L096      5,973.75
  2684T002      2,523.10
  2691L063      8,703.95
  2695L052      3,974.15
  2695L053     32,024.70
  2695L054        923.85
  2695L055      9,153.90
  2696N042     21,774.35
  2696N043     23,586.70
  2696N044     19,869.00
  2696N045      5,547.80
  2697L130     11,613.75
  2697L131      8,950.95
  26999029     -4,045.30
  26W90015          1.39
  3013T003      7,505.27
  3013T004      8,359.98
  3013T005      4,688.47
  30999022       -125.50
  30W90000       -719.37
  30Y28122      2,199.45
  31558081     16,428.15
  3221H077      8,354.09
  3227E103        149.15
  32305121      1,210.50
  32305122      3,147.05
  32375119      2,471.61
  3243R003     30,147.90
  3249T006      4,603.50
  3249T007      4,703.47
  3251N009        130.40
  3254P005     14,290.54
  3281M088      8,553.64
  3281M089      2,338.61
  32999026       -592.75
  32G92353      7,730.46
  32N12344        133.45
  32N12345      3,073.40
  32N12346        502.55
  32N77403      4,788.87
  32N77404     10,036.82
  3301T019      6,496.34
  3301T020      4,097.24
  3303R040      9,465.36
  3303R041     13,410.39
  3303R042      8,982.00
  3304N100        192.70
  3304R020     10,544.03
  3304R021      4,850.42
  3304R022        152.88
  3308C066      1,651.10
  3308C067     13,059.55
  3309P080        647.90
  3309T019      9,736.86
  3310T032        397.10
  3310T033      1,900.19
  3310T034      3,432.36
  3316T008     12,564.34
  3316T009      2,306.70
  3324F213         67.60
  3327C112      8,422.03
  3327C113      1,267.65
  33350794     25,699.24
  33350795     12,647.69
  33350796     23,199.68
  33350797      3,345.36
  3335F268      4,381.52
  3335F269     13,118.53
  3335F270      2,272.14
  3336B438         41.10
  3336B439      6,276.39
  3336B440      3,299.55
  33371169      1,229.10
  3340C321      4,074.06
  3340C322      3,034.90
  3341N077     15,234.01
  3341N078      6,001.06
  3341N079     13,443.70
  3341N080     13,313.40
  3341N081     13,558.73
  3341N082      9,478.16
  33449109        675.35
  33450894         99.10
  33473291     10,933.85
  33496363      3,620.48
  33523455     25,480.42
  33586319     45,178.02
  33586320     19,016.42
  33651313     32,620.68
  33651314      2,998.75
  3365E247     13,182.41
